med_event_ID,conflict_country,conflict_counry_ID,conflict_id,med_location - MULTISELECT,med_loc_cty,med_loc_x,med_loc_y,Day,Month,Year,third_party,third_party_id_GLOPAD,third_party_id,third_party_id_PAX,num_med,med_scope,ind_named_id,individual_med_named,groupings_mechanisms,local_parties,local_party_id,local_indiv_group,num_local,if_loc_belig,agmt,agmt_name,agmt_id_PAX,Summary,source_urls,shuttle,med_type
YEM201801-1,Yemen,678,,Sanaa,YEM,44.2064,15.3483,6,1,2018,OSESG-Yemen,IGO_990,IGO_990,,1,H,indnam365,Muin Shreim,UN Process,Ansar Allah,NL,,1,1,0,,,"The Deputy Head of Mission of the Office of the Special Envoy for Yemen (OSESGY), Muin Shreim, concluded a five-day visit to Sana’a, during which he held meetings on the resumption of the Yemeni peace process with senior political figures from the Ansar Allah Movement, the General People’s Congress and other political actors and civil society leaders....During visit of UN deputy special envoy to Sanaa 6-10 Jan, Huthis said they were open to UN-led talks but warned they would block shipping in Red Sea if Saudi-led coalition continued military push to Hodeida port.",https://osesgy.unmissions.org/deputy-head-mission-yemen-calls-yemeni-leaders-create-positive-conditions-resumption-peace-talks;https://www.crisisgroup.org/crisiswatch/database?location%5B0%5D=90&crisis_state=&created=custom&from_month=1&from_year=2018&to_month=1&to_year=2019&page=1;http://gulfnews.com/news/gulf/yemen/new-peace-bid-in-yemen-but-skepticism-reigns-1.2152964,1,M
YEM201801-2,Yemen,678,,unknown,,,,6,1,2018,OSESG-Yemen,IGO_990,IGO_990,,1,H,indnam365,Muin Shreim,UN Process,General People's Congress,ACLED,,1,1,0,,,"The Deputy Head of Mission of the Office of the Special Envoy for Yemen (OSESGY), Muin Shreim, concluded a five-day visit to Sana’a, during which he held meetings on the resumption of the Yemeni peace process with senior political figures from the Ansar Allah Movement, the General People’s Congress and other political actors and civil society leaders....During visit of UN deputy special envoy to Sanaa 6-10 Jan, Huthis said they were open to UN-led talks but warned they would block shipping in Red Sea if Saudi-led coalition continued military push to Hodeida port.",https://osesgy.unmissions.org/deputy-head-mission-yemen-calls-yemeni-leaders-create-positive-conditions-resumption-peace-talks;https://www.crisisgroup.org/crisiswatch/database?location%5B0%5D=90&crisis_state=&created=custom&from_month=1&from_year=2018&to_month=1&to_year=2019&page=1,1,M
YEM201801-3,Yemen,678,,unknown,,,,6,1,2018,OSESG-Yemen,IGO_990,IGO_990,,1,H,indnam365,Muin Shreim,UN Process,Civil Society (Default),GLO-PAD,,1,,0,,,"The Deputy Head of Mission of the Office of the Special Envoy for Yemen (OSESGY), Muin Shreim, concluded a five-day visit to Sana’a, during which he held meetings on the resumption of the Yemeni peace process with senior political figures from the Ansar Allah Movement, the General People’s Congress and other political actors and civil society leaders....During visit of UN deputy special envoy to Sanaa 6-10 Jan, Huthis said they were open to UN-led talks but warned they would block shipping in Red Sea if Saudi-led coalition continued military push to Hodeida port.",https://osesgy.unmissions.org/deputy-head-mission-yemen-calls-yemeni-leaders-create-positive-conditions-resumption-peace-talks;https://www.crisisgroup.org/crisiswatch/database?location%5B0%5D=90&crisis_state=&created=custom&from_month=1&from_year=2018&to_month=1&to_year=2019&page=1,1,M
YEM201801-4,Yemen,678,,Paris,FRA,2.3522,48.8567,16,1,2018,UAE; Saudi Arabia; UK; United States,CON_591;CON_419;CON_19;CON_3,CON_591;CON_419;CON_19;CON_3,696;670;200;2,4,P,indnam421;indnam81,Rex Tillerson; Boris Johnson,QUAD,,,,0,,0,,,Quad meets to discuss political solutions to Yemen crisis.,http://gulfnews.com/news/gulf/yemen/tillerson-discusses-yemen-with-gulf-ministers-1.2162134,0,MR
YEM201801-5,Yemen,678,,Riyadh,SAU,46.7167,24.6333,17,1,2018,OSESG-Yemen; GCC,IGO_990;IGO_540,IGO_990;IGO_540,;,2,P,indnam392;indnam10,Ould Cheikh Ahmed; Abdul-Latif Bin Rashid Al-Zayani,UN Process,,,,0,,0,,,"The Special Envoy of the United Nations Secretary General for Yemen, Ismail Ould Cheikh Ahmed, concluded a four-day visit to the Kingdom of Saudi Arabia, where he met with the Yemeni President Mr. Abdrabbuh Mansur Hadi and Minister of Foreign Affairs Abdulmalik Al-Mekhlafi as well as a number of Yemeni political and government figures. He also met with Dr Abdullatif Al Zayani, the Secretary General of the Gulf Cooperation Council, Saudi officials, Ambassadors of the permanent five members of the Security Council and the G18 (members of the diplomatic corps working on Yemen).",https://osesgy.unmissions.org/un-envoy-concludes-visit-riyadh-and-intensifies-efforts-resume-political-process,0,MR
YEM201801-6,Yemen,678,,Riyadh,SAU,46.7167,24.6333,17,1,2018,OSESG-Yemen; Saudi Arabia,IGO_990;CON_419,IGO_990;CON_419,;670,2,P,indnam392,Ould Cheikh Ahmed,UN Process,,,,0,,0,,,"The Special Envoy of the United Nations Secretary General for Yemen, Ismail Ould Cheikh Ahmed, concluded a four-day visit to the Kingdom of Saudi Arabia, where he met with the Yemeni President Mr. Abdrabbuh Mansur Hadi and Minister of Foreign Affairs Abdulmalik Al-Mekhlafi as well as a number of Yemeni political and government figures. He also met with Dr Abdullatif Al Zayani, the Secretary General of the Gulf Cooperation Council, Saudi officials, Ambassadors of the permanent five members of the Security Council and the G18 (members of the diplomatic corps working on Yemen).",https://osesgy.unmissions.org/un-envoy-concludes-visit-riyadh-and-intensifies-efforts-resume-political-process,0,MR
YEM201801-7,Yemen,678,,Riyadh,SAU,46.7167,24.6333,17,1,2018,OSESG-Yemen; France; United Kingdom; United States; China; Russia; Saudi Arabia; Qatar; Kuwait; Oman; United Arab Emirates; EU; Germany; Netherlands; Japan; Bahrain; Egypt; Turkey,IGO_990;CON_7;CON_19;CON_3;CON_20;CON_21;CON_419;CON_486;CON_563;CON_606;CON_591;IGO_5;CON_2;CON_10;CON_294;CON_18;CON_82;CON_562,IGO_990;CON_7;CON_19;CON_3;CON_20;CON_21;CON_419;CON_486;CON_563;CON_606;CON_591;IGO_5;CON_2;CON_10;CON_294;CON_18;CON_82;CON_562,;220;200;2;710;365;670;694;692;698;696;;255;210;740;692;651;640,18,P,indnam392,Ould Cheikh Ahmed,UN Process,,,,0,,0,,,"The Special Envoy of the United Nations Secretary General for Yemen, Ismail Ould Cheikh Ahmed, concluded a four-day visit to the Kingdom of Saudi Arabia, where he met with the Yemeni President Mr. Abdrabbuh Mansur Hadi and Minister of Foreign Affairs Abdulmalik Al-Mekhlafi as well as a number of Yemeni political and government figures. He also met with Dr Abdullatif Al Zayani, the Secretary General of the Gulf Cooperation Council, Saudi officials, Ambassadors of the permanent five members of the Security Council and the G18 (members of the diplomatic corps working on Yemen).",https://osesgy.unmissions.org/un-envoy-concludes-visit-riyadh-and-intensifies-efforts-resume-political-process,0,MR
YEM201801-8,Yemen,678,,Riyadh,SAU,46.7167,24.6333,17,1,2018,OSESG-Yemen; Saudi Arabia,IGO_990;CON_419,IGO_990;CON_419,;670,2,P,indnam392,Ould Cheikh Ahmed,UN Process,Yemen (2012-2022) Hadi,ACLED,,1,1,0,,,"UNSESGY meets with Saudis and Hadi in Riyadh to discuss how to get back to peace process…. (...) The Special Envoy of the United Nations Secretary General for Yemen, Ismail Ould Cheikh Ahmed, concluded a four-day visit to the Kingdom of Saudi Arabia, where he met with the Yemeni President Mr. Abdrabbuh Mansur Hadi and Minister of Foreign Affairs Abdulmalik Al-Mekhlafi as well as a number of Yemeni political and government figures. He also met with Dr Abdullatif Al Zayani, the Secretary General of the Gulf Cooperation Council, Saudi officials, Ambassadors of the permanent five members of the Security Council and the G18 (members of the diplomatic corps working on Yemen).",https://osesgy.unmissions.org/un-envoy-concludes-visit-riyadh-and-intensifies-efforts-resume-political-process,1,M
YEM201801-9,Yemen,678,,Oman,OMN,57,21,31,1,2018,Oman; UK,CON_606;CON_19,CON_606;CON_19,698;200,2,P,indnam81,Boris Johnson,,,,,0,,0,,,"Johnson visits Oman to discuss political solution to Yemen conflict. Also visits KSA, but less clear if any discussions actually focus on Yemen issue, as Iran takes centre-stage.",http://www.arabnews.com/node/1232526/middle-east,0,MR
SUD201802-1,Sudan,625,,Addis Ababa,ETH,38.74,9.03,1,2,2018,African Union,IGO_87,IGO_87,,1,H,indnam497,Thabo Mbeki,AUHIP Process,LM/A - AH ; Sudan,NL;112,,2+,1,0,,,"Sudan announced plans to resume peace talks with the Sudan People's Liberation Movement (SPLM)/Northern Sector in early February 2014. The negotiations, aimed at ending the conflict in South Kordofan and Blue Nile, will take place in Addis Ababa, Ethiopia. The Sudanese government hopes to achieve a cessation of hostilities and a comprehensive peace agreement. The African Union, led by former South African President Thabo Mbeki, is overseeing the talks. Both the government and the SPLM/Northern Sector, led by Abdel-Aziz Al-Hilu, have expressed optimism about reaching a deal. A ceasefire is expected to allow for the delivery of Humanitarian aid to the affected regions..... Govt and rebel faction Sudan People’s Liberation Movement-North (SPLM-N) led by Abdelaziz al-Hilu met for talks in Ethiopian capital, Addis Ababa 1-2 Feb, first since Oct 2016, but failed to secure cessation of hostilities agreement, Malik Agar excluded from talks....KHARTOUM, Feb. 5 (Xinhua) -- The Sudanese government on Monday reiterated commitment to ceasefire at South Kordofan and Blue Nile areas. It vowed to continue negotiations with rebels of Sudan People's Liberation Movement (SPLM)/northern sector to reach peaceful settlement for the two areas' issue. Sudan's negotiating delegation returned to the Sudanese capital Khartoum on Monday after participating in the most recent round of peace talks regarding the two areas, held in the Ethiopian capital Addis Ababa during Feb. 1-3.",http://www.china.org.cn/world/Off_the_Wire/2018-01/29/content_50338301.htm;https://www.dabangasudan.org/en/all-news/article/sudanese-govt-wants-a-peace-deal-on-the-two-areas-soon-opposition-request-postponement;http://allafrica.com/stories/201801300346.html;https://www.dabangasudan.org/en/all-news/article/splm-n-declares-ceasefire-in-south-kordofan;http://www.xinhuanet.com/english/2018-01/31/c_136937214.htm;https://www.dabangasudan.org/en/all-news/article/splm-n-sudan-share-points-of-disagreement-in-addis;http://www.xinhuanet.com/english/2018-02/06/c_136951353.htm,0,M
